"GEOGRAPHIC PROFILE OF EMPLOYMENT AND UNEMPLOYMENT 
2021 ANNUAL AVERAGES 
Table 19.  States: employment status of the experienced(1) civilian labor force, by industry",,,,,,,,,,,,,,,,
[Numbers in thousands],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Employment status
and state",Total,"Mining, quar-
rying, and
oil and gas
extraction",Construction,Manufacturing,,,"Wholesale
and retail
trade","Transport-
ation and
utilities",Information,"Financial
activities","Professional
and business
services","Education
and health
services","Leisure
and
hospitality","Other
services","Public
admini-
stration","Agriculture
and related
industries"
,,,,Total,Durable goods,Nondurable goods,,,,,,,,,,
,,,,,,,,,,,,,,,,
Civilian labor force,,,,,,,,,,,,,,,,
Alabama,"2,245",(2)-,179,320,231,90,321,134,(2)-,122,232,461,182,107,120,(2)-
Alaska,351,(2)-,27,13,(2)-,(2)-,48,27,(2)-,15,30,88,29,18,37,(2)-
Arizona,"3,531",(2)-,275,262,200,(2)-,486,210,(2)-,338,455,746,314,165,176,(2)-
Arkansas,"1,341",(2)-,90,177,78,98,208,82,(2)-,78,110,319,105,63,(2)-,(2)-
California,"18,879",(2)-,"1,430","1,540","1,023",518,"2,326","1,207",550,"1,075","2,791","3,853","1,855",923,895,395
Colorado,"3,119",(2)-,273,160,106,(2)-,371,188,(2)-,261,483,630,282,145,158,(2)-
Connecticut,"1,859",(2)-,129,192,148,(2)-,224,106,(2)-,205,226,464,134,84,(2)-,(2)-
Delaware,490,(2)-,43,40,(2)-,26,68,33,(2)-,45,53,109,40,20,29,(2)-
District of Columbia,377,(2)-,11,(2)-,(2)-,(2)-,17,10,13,23,100,66,27,36,70,(2)-
Florida,"10,281",(2)-,917,504,328,176,"1,471",683,150,874,"1,489","2,033","1,059",587,424,(2)-
Georgia,"5,170",(2)-,391,532,304,227,649,433,(2)-,379,677,"1,042",435,200,245,(2)-
Hawaii,665,(2)-,49,20,(2)-,(2)-,80,46,(2)-,42,71,138,101,30,65,(2)-
Idaho,922,(2)-,82,95,46,50,132,53,(2)-,60,102,186,79,40,39,43
Illinois,"6,339",(2)-,361,716,414,302,804,448,92,513,885,"1,458",496,267,240,(2)-
Indiana,"3,315",(2)-,205,548,390,158,412,227,(2)-,177,317,781,296,141,(2)-,(2)-
Iowa,"1,680",(2)-,108,211,122,(2)-,254,99,(2)-,111,117,423,119,(2)-,(2)-,(2)-
Kansas,"1,492",(2)-,92,192,127,(2)-,197,(2)-,(2)-,101,153,362,105,(2)-,(2)-,(2)-
Kentucky,"2,022",(2)-,118,267,172,95,260,161,(2)-,124,181,456,177,85,(2)-,(2)-
Louisiana,"2,051",54,179,147,62,85,279,124,(2)-,98,216,481,197,112,113,(2)-
Maine,687,(2)-,49,57,(2)-,(2)-,104,(2)-,(2)-,(2)-,75,173,56,(2)-,(2)-,(2)-
Maryland,"3,181",(2)-,229,128,(2)-,(2)-,382,164,(2)-,212,544,720,219,122,381,(2)-
Massachusetts,"3,723",(2)-,253,332,210,122,429,141,(2)-,281,642,997,290,134,152,(2)-
Michigan,"4,727",(2)-,291,870,710,159,614,247,(2)-,278,459,"1,107",408,202,146,(2)-
Minnesota,"3,036",(2)-,203,416,269,148,379,150,(2)-,226,355,733,210,(2)-,(2)-,(2)-
Mississippi,"1,245",(2)-,98,178,122,57,158,95,(2)-,52,84,311,100,60,55,(2)-
Missouri,"3,048",(2)-,233,332,208,124,397,180,(2)-,206,330,704,242,159,150,(2)-
Montana,555,(2)-,53,(2)-,(2)-,(2)-,76,28,(2)-,36,56,120,59,(2)-,38,29
Nebraska,"1,049",(2)-,74,111,(2)-,65,155,59,(2)-,82,110,234,72,(2)-,(2)-,(2)-
Nevada,"1,497",(2)-,125,65,46,(2)-,211,115,(2)-,82,181,248,286,68,63,(2)-
New Hampshire,742,(2)-,55,98,75,(2)-,99,(2)-,(2)-,55,91,182,62,(2)-,(2)-,(2)-
New Jersey,"4,629",(2)-,301,385,159,226,608,324,128,416,681,"1,070",353,175,168,(2)-
New Mexico,931,(2)-,71,50,35,(2)-,134,50,(2)-,43,110,224,95,43,67,(2)-
New York,"9,441",(2)-,601,509,281,228,"1,108",530,261,796,"1,280","2,559",857,466,430,(2)-
